,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,1.23,2.91,2.16,2.46,2.89,3.15,5.83,8.17,0.5,2.05,0.89,2.92,1.31,6.75,4.89,3.46
1,1.23,0.0,1.78,2.71,1.23,1.66,2.63,5.06,7.4,1.73,1.53,1.05,3.09,2.54,6.23,4.37,2.99
2,2.91,1.78,0.0,4.49,1.92,3.35,1.17,3.28,5.62,3.41,1.1,2.02,4.78,4.22,4.46,2.91,4.68
3,2.16,2.71,4.49,0.0,3.3,1.87,5.31,7.77,10.11,1.73,4.21,3.05,0.76,1.2,8.91,7.05,1.3
4,2.46,1.23,1.92,3.3,0.0,1.43,3.09,5.2,7.54,2.96,2.76,2.28,2.86,3.77,6.38,4.83,2.76
5,2.89,1.66,3.35,1.87,1.43,0.0,4.29,6.63,8.97,3.39,3.19,2.71,1.43,3.07,7.81,6.03,1.33
6,3.15,2.63,1.17,5.31,3.09,4.29,0.0,2.68,5.02,3.65,1.1,2.26,5.72,4.46,3.6,1.74,5.62
7,5.83,5.06,3.28,7.77,5.2,6.63,2.68,0.0,2.34,6.33,3.78,4.94,8.06,7.14,1.18,1.09,7.96
8,8.17,7.4,5.62,10.11,7.54,8.97,5.02,2.34,0.0,8.67,6.12,7.28,10.4,9.48,1.51,3.37,10.3
9,0.5,1.73,3.41,1.73,2.96,3.39,3.65,6.33,8.67,0.0,2.55,1.39,2.49,0.81,7.25,5.39,3.03
10,2.05,1.53,1.1,4.21,2.76,3.19,1.1,3.78,6.12,2.55,0.0,1.16,4.62,3.36,4.7,2.84,4.52
11,0.89,1.05,2.02,3.05,2.28,2.71,2.26,4.94,7.28,1.39,1.16,0.0,3.81,2.2,5.86,4.0,4.04
12,2.92,3.09,4.78,0.76,2.86,1.43,5.72,8.06,10.4,2.49,4.62,3.81,0.0,1.96,9.24,7.46,0.54
13,1.31,2.54,4.22,1.2,3.77,3.07,4.46,7.14,9.48,0.81,3.36,2.2,1.96,0.0,8.06,6.2,2.5
14,6.75,6.23,4.46,8.91,6.38,7.81,3.6,1.18,1.51,7.25,4.7,5.86,9.24,8.06,0.0,1.86,9.14
15,4.89,4.37,2.91,7.05,4.83,6.03,1.74,1.09,3.37,5.39,2.84,4.0,7.46,6.2,1.86,0.0,7.36
16,3.46,2.99,4.68,1.3,2.76,1.33,5.62,7.96,10.3,3.03,4.52,4.04,0.54,2.5,9.14,7.36,0.0
