LocationID,zone,borough,MODZCTA
2,Jamaica Bay,Queens,"[99999, 11693, 11434]"
3,Allerton/Pelham Gardens,Bronx,"[10461, 10475, 10469, 10467]"
4,Alphabet City,Manhattan,"[10002, 10009]"
5,Arden Heights,Staten Island,[10312]
6,Arrochar/Fort Wadsworth,Staten Island,"[10305, 10304]"
7,Astoria,Queens,"[11101, 11377, 11106, 11103, 11102, 11105]"
8,Astoria Park,Queens,"[11102, 11105]"
9,Auburndale,Queens,"[11365, 11364, 11358, 11361]"
10,Baisley Park,Queens,"[11434, 11420, 11436, 11433, 11435]"
11,Bath Beach,Brooklyn,"[11214, 11228, 11209]"
12,Battery Park,Manhattan,"[10004, 10280]"
13,Battery Park City,Manhattan,"[10004, 10280, 10006, 10007, 10282, 10013]"
14,Bay Ridge,Brooklyn,"[11228, 11209, 11220]"
15,Bay Terrace/Fort Totten,Queens,"[11358, 11360, 11357]"
16,Bayside,Queens,"[11365, 11364, 11362, 11358, 11361, 11360, 11357]"
17,Bedford,Brooklyn,"[11238, 11216, 11205, 11211, 11213, 11221, 11206]"
18,Bedford Park,Bronx,"[10458, 10467, 10468]"
19,Bellerose,Queens,"[11429, 11428, 11427, 11426, 11364, 11004, 11362]"
20,Belmont,Bronx,"[99999, 10460, 10457, 10458]"
21,Bensonhurst East,Brooklyn,"[11214, 11223, 11204, 11230]"
22,Bensonhurst West,Brooklyn,"[11214, 11228, 11223, 11204, 11219]"
23,Bloomfield/Emerson Hill,Staten Island,"[10306, 10314, 10303, 99999]"
24,Bloomingdale,Manhattan,"[99999, 10024, 10025, 10026]"
25,Boerum Hill,Brooklyn,"[11231, 11201, 11217]"
26,Borough Park,Brooklyn,"[11204, 11230, 11218, 11215, 11219, 11220]"
27,Breezy Point/Fort Tilden/Riis Beach,Queens,"[99999, 11697, 11694]"
28,Briarwood/Jamaica Hills,Queens,"[11435, 11432, 11367, 11418, 11415, 11375]"
29,Brighton Beach,Brooklyn,"[11224, 11235, 11223]"
30,Broad Channel,Queens,"[99999, 11693]"
31,Bronx Park,Bronx,"[99999, 10462, 10460, 10458, 10467]"
32,Bronxdale,Bronx,"[99999, 10462, 10461, 10469, 10467]"
33,Brooklyn Heights,Brooklyn,[11201]
34,Brooklyn Navy Yard,Brooklyn,"[11201, 11205, 11211]"
35,Brownsville,Brooklyn,"[11236, 11207, 11212, 11213, 11233]"
36,Bushwick North,Brooklyn,"[11207, 11221, 11206, 11237, 11385]"
37,Bushwick South,Brooklyn,"[11211, 11207, 11233, 11221, 11206, 11237, 11385]"
38,Cambria Heights,Queens,"[11422, 11413, 11411, 11412, 11429]"
39,Canarsie,Brooklyn,"[11236, 11239, 11207, 11234]"
40,Carroll Gardens,Brooklyn,"[11215, 11231, 11217]"
41,Central Harlem,Manhattan,"[99999, 10029, 10035, 10025, 10026, 10027]"
42,Central Harlem North,Manhattan,"[10035, 10027, 10031, 10037, 10030, 10039, 10032]"
43,Central Park,Manhattan,"[99999, 10022, 10065, 10019, 10021, 10075, 10023, 10028, 10029, 10128, 10024, 10025, 10026]"
44,Charleston/Tottenville,Staten Island,"[10307, 10309, 10312, 10314, 99999]"
45,Chinatown,Manhattan,"[10038, 10007, 10013, 10002]"
