Date,LBMP,Zone
1/1/2024 12:00:00 AM,32.22,CAPITL
1/1/2024 12:00:00 AM,31.12,CENTRL
1/1/2024 12:00:00 AM,32.27,DUNWOD
1/1/2024 12:00:00 AM,30.08,GENESE
1/1/2024 12:00:00 AM,31.66,H Q
1/1/2024 12:00:00 AM,32.16,HUD VL
1/1/2024 12:00:00 AM,32.89,LONGIL
1/1/2024 12:00:00 AM,32.26,MHK VL
1/1/2024 12:00:00 AM,32.23,MILLWD
1/1/2024 12:00:00 AM,31.84,N.Y.C.
1/1/2024 12:00:00 AM,32.35,NORTH
1/1/2024 12:00:00 AM,31.98,NPX
1/1/2024 12:00:00 AM,29.1,O H
1/1/2024 12:00:00 AM,30.12,PJM
1/1/2024 12:00:00 AM,30.04,WEST
1/1/2024 1:00:00 AM,31.19,CAPITL
1/1/2024 1:00:00 AM,30.04,CENTRL
1/1/2024 1:00:00 AM,31.16,DUNWOD
1/1/2024 1:00:00 AM,29.17,GENESE
1/1/2024 1:00:00 AM,30.62,H Q
1/1/2024 1:00:00 AM,31.07,HUD VL
1/1/2024 1:00:00 AM,31.62,LONGIL
1/1/2024 1:00:00 AM,31.13,MHK VL
1/1/2024 1:00:00 AM,31.1,MILLWD
1/1/2024 1:00:00 AM,31.13,N.Y.C.
1/1/2024 1:00:00 AM,31.28,NORTH
1/1/2024 1:00:00 AM,30.95,NPX
1/1/2024 1:00:00 AM,28.32,O H
1/1/2024 1:00:00 AM,29.88,PJM
1/1/2024 1:00:00 AM,29.14,WEST
1/1/2024 2:00:00 AM,30.1,CAPITL
1/1/2024 2:00:00 AM,28.82,CENTRL
1/1/2024 2:00:00 AM,30.05,DUNWOD
1/1/2024 2:00:00 AM,27.85,GENESE
1/1/2024 2:00:00 AM,29.52,H Q
1/1/2024 2:00:00 AM,29.98,HUD VL
1/1/2024 2:00:00 AM,30.42,LONGIL
1/1/2024 2:00:00 AM,29.95,MHK VL
1/1/2024 2:00:00 AM,30.04,MILLWD
1/1/2024 2:00:00 AM,30.13,N.Y.C.
1/1/2024 2:00:00 AM,30.16,NORTH
1/1/2024 2:00:00 AM,32.16,NPX
1/1/2024 2:00:00 AM,26.91,O H
1/1/2024 2:00:00 AM,28.73,PJM
1/1/2024 2:00:00 AM,27.7,WEST
1/1/2024 3:00:00 AM,27.66,CAPITL
1/1/2024 3:00:00 AM,26.61,CENTRL
1/1/2024 3:00:00 AM,27.61,DUNWOD
1/1/2024 3:00:00 AM,25.94,GENESE
1/1/2024 3:00:00 AM,27.21,H Q
1/1/2024 3:00:00 AM,27.56,HUD VL
1/1/2024 3:00:00 AM,28.12,LONGIL
1/1/2024 3:00:00 AM,27.58,MHK VL
1/1/2024 3:00:00 AM,27.58,MILLWD
